accident_index,year,location_easting_osgr,location_northing_osgr,longitude,latitude,urban_or_rural_area,lad2014_code,lad2014_name,road_class,road_classcat,cas_severity,cas_mode
20104100T1008,2010,509550,207260,-.414330005645752,51.75328063964844,2,E07000240,St Albans,Motorway,Motorway,Serious,car/taxi
2007070701450,2007,360190,391960,-2.600541114807129,53.42291641235352,2,E06000007,Warrington,Motorway,Motorway,Fatal,heavy goods
2008070086026,2008,377620,359460,-2.335958957672119,53.13180923461914,2,E06000049,Cheshire East,Motorway,Motorway,Serious,car/taxi
2007400D01558,2007,503680,226210,-.4936639964580536,51.92472076416016,2,E06000056,Central Bedfordshire,Motorway,Motorway,Serious,car/taxi
200520Z017601,2005,399650,289440,-2.00659704208374,52.50283050537109,1,E08000028,Sandwell,Motorway,Motorway,Serious,bus
200745TA07163,2007,531300,151660,-.1200790032744408,51.24894714355469,2,E07000215,Tandridge,Motorway,Motorway,Serious,car/taxi
2008030003372,2008,357380,515590,-2.660160064697266,54.53379440307617,2,E07000030,Eden,Motorway,Motorway,Serious,car/taxi
201543N033095,2015,501971,185645,-.5303999781608582,51.56047821044922,2,E07000006,South Bucks,Motorway,Motorway,Serious,car/taxi
20104100T3317,2010,523020,199920,-.2218720018863678,51.68452453613281,2,E07000098,Hertsmere,Motorway,Motorway,Serious,car/taxi
201106X050964,2011,375928,403159,-2.364581108093262,53.52453231811523,2,E08000006,Salford,Motorway,Motorway,Fatal,motorcycle
2007030000813,2007,357300,516610,-2.661545038223267,54.54295349121094,2,E07000030,Eden,Motorway,Motorway,Serious,heavy goods
2012070251102,2012,362190,392040,-2.570456027984619,53.42378234863281,2,E06000007,Warrington,Motorway,Motorway,Serious,car/taxi
2016051604069,2016,340730,397310,-2.892972946166992,53.46893310546875,2,E08000011,Knowsley,Motorway,Motorway,Serious,motorcycle
2011030001305,2011,355420,519850,-2.691093921661377,54.57190704345703,2,E07000030,Eden,Motorway,Motorway,Serious,motorcycle
2013239601013,2013,440108,285257,-1.411087989807129,52.46376037597656,2,E07000220,Rugby,Motorway,Motorway,Serious,car/taxi
2007440493721,2007,456970,145360,-1.185920000076294,51.20455932617188,2,E07000084,Basingstoke and Deane,Motorway,Motorway,Fatal,car/taxi
2008130318108,2008,434000,425850,-1.486147046089172,53.72794342041016,2,E08000035,Leeds,Motorway,Motorway,Serious,car/taxi
